marketplace,pct_x,metadata_score
skills_sh,57.841907,41.25
skills_sh,57.967378,41.25
skills_sh,58.092848,41.25
skills_sh,58.218319,41.25
skills_sh,58.343789,41.25
skills_sh,58.46926,41.25
skills_sh,58.59473,41.25
skills_sh,58.720201,41.25
skills_sh,58.845671,41.25
skills_sh,58.971142,41.25
skills_sh,59.096612,41.25
skills_sh,59.222083,41.25
skills_sh,59.347553,41.25
skills_sh,59.473024,41.25
skills_sh,59.598494,41.75
skills_sh,59.723965,42.0
skills_sh,59.849435,42.25
skills_sh,59.974906,42.25
skills_sh,60.100376,42.25
skills_sh,60.225847,42.25
skills_sh,60.351317,42.25
skills_sh,60.476788,42.25
skills_sh,60.602258,42.25
skills_sh,60.727729,42.5
skills_sh,60.853199,42.75
skills_sh,60.97867,42.75
skills_sh,61.104141,42.75
skills_sh,61.229611,42.75
skills_sh,61.355082,42.75
skills_sh,61.480552,43.25
skills_sh,61.606023,43.25
skills_sh,61.731493,43.25
skills_sh,61.856964,43.25
skills_sh,61.982434,43.25
skills_sh,62.107905,43.25
skills_sh,62.233375,43.25
skills_sh,62.358846,43.25
skills_sh,62.484316,43.25
skills_sh,62.609787,43.25
skills_sh,62.735257,43.25
skills_sh,62.860728,43.25
skills_sh,62.986198,43.25
skills_sh,63.111669,43.25
skills_sh,63.237139,43.25
skills_sh,63.36261,43.25
skills_sh,63.48808,43.25
skills_sh,63.613551,43.25
skills_sh,63.739021,43.75
skills_sh,63.864492,43.75
skills_sh,63.989962,43.75
skills_sh,64.115433,43.75
skills_sh,64.240903,43.75
skills_sh,64.366374,43.75
skills_sh,64.491844,43.75
skills_sh,64.617315,44.0
skills_sh,64.742785,44.25
skills_sh,64.868256,44.25
skills_sh,64.993726,44.25
skills_sh,65.119197,44.75
skills_sh,65.244668,44.75
skills_sh,65.370138,44.75
skills_sh,65.495609,44.75
skills_sh,65.621079,44.75
skills_sh,65.74655,44.75
skills_sh,65.87202,44.75
skills_sh,65.997491,45.0
skills_sh,66.122961,45.25
skills_sh,66.248432,45.25
skills_sh,66.373902,45.25
skills_sh,66.499373,45.25
skills_sh,66.624843,45.25
skills_sh,66.750314,45.25
skills_sh,66.875784,45.25
skills_sh,67.001255,46.25
skills_sh,67.126725,46.25
skills_sh,67.252196,46.25
skills_sh,67.377666,46.25
skills_sh,67.503137,46.75
skills_sh,67.628607,46.75
skills_sh,67.754078,46.75
skills_sh,67.879548,46.75
skills_sh,68.005019,46.75
skills_sh,68.130489,46.75
skills_sh,68.25596,46.75
skills_sh,68.38143,47.25
skills_sh,68.506901,47.25
skills_sh,68.632371,47.25
skills_sh,68.757842,47.25
skills_sh,68.883312,47.25
skills_sh,69.008783,47.25
skills_sh,69.134253,47.75
skills_sh,69.259724,47.75
skills_sh,69.385194,47.75
skills_sh,69.510665,47.75
skills_sh,69.636136,47.75
skills_sh,69.761606,48.25
skills_sh,69.887077,48.25
skills_sh,70.012547,48.25
skills_sh,70.138018,48.25
skills_sh,70.263488,48.25
skills_sh,70.388959,48.25
skills_sh,70.514429,48.25
skills_sh,70.6399,48.25
skills_sh,70.76537,48.5
skills_sh,70.890841,48.5
skills_sh,71.016311,48.75
skills_sh,71.141782,48.75
skills_sh,71.267252,48.75
skills_sh,71.392723,48.75
skills_sh,71.518193,48.75
skills_sh,71.643664,48.75
skills_sh,71.769134,48.75
skills_sh,71.894605,48.75
skills_sh,72.020075,48.75
skills_sh,72.145546,48.75
skills_sh,72.271016,48.75
skills_sh,72.396487,48.75
skills_sh,72.521957,48.75
skills_sh,72.647428,49.25
skills_sh,72.772898,49.25
skills_sh,72.898369,49.25
skills_sh,73.023839,49.25
skills_sh,73.14931,49.25
skills_sh,73.27478,49.25
skills_sh,73.400251,49.25
skills_sh,73.525721,49.25
skills_sh,73.651192,49.25
skills_sh,73.776662,49.25
skills_sh,73.902133,49.25
skills_sh,74.027604,49.75
skills_sh,74.153074,50.25
skills_sh,74.278545,50.25
skills_sh,74.404015,50.25
skills_sh,74.529486,50.25
skills_sh,74.654956,50.25
skills_sh,74.780427,50.75
skills_sh,74.905897,50.75
skills_sh,75.031368,50.75
skills_sh,75.156838,50.75
skills_sh,75.282309,51.0
skills_sh,75.407779,51.0
skills_sh,75.53325,51.25
skills_sh,75.65872,51.25
skills_sh,75.784191,51.25
skills_sh,75.909661,51.25
skills_sh,76.035132,51.25
skills_sh,76.160602,51.25
skills_sh,76.286073,51.25
skills_sh,76.411543,51.75
skills_sh,76.537014,51.75
skills_sh,76.662484,51.75
skills_sh,76.787955,52.25
skills_sh,76.913425,52.25
skills_sh,77.038896,52.25
skills_sh,77.164366,52.25
skills_sh,77.289837,52.25
skills_sh,77.415307,52.75
skills_sh,77.540778,52.75
skills_sh,77.666248,52.75
skills_sh,77.791719,52.75
skills_sh,77.917189,52.75
skills_sh,78.04266,52.75
skills_sh,78.16813,52.75
skills_sh,78.293601,52.75
skills_sh,78.419072,52.75
skills_sh,78.544542,52.75
skills_sh,78.670013,52.75
skills_sh,78.795483,53.25
skills_sh,78.920954,53.25
skills_sh,79.046424,53.25
skills_sh,79.171895,53.25
skills_sh,79.297365,53.25
skills_sh,79.422836,53.25
skills_sh,79.548306,53.25
skills_sh,79.673777,53.75
skills_sh,79.799247,53.75
skills_sh,79.924718,53.75
skills_sh,80.050188,53.75
skills_sh,80.175659,53.75
skills_sh,80.301129,53.75
skills_sh,80.4266,53.75
skills_sh,80.55207,53.75
skills_sh,80.677541,54.25
skills_sh,80.803011,54.25
skills_sh,80.928482,54.25
skills_sh,81.053952,54.25
skills_sh,81.179423,54.25
skills_sh,81.304893,54.5
skills_sh,81.430364,54.75
skills_sh,81.555834,55.25
skills_sh,81.681305,55.25
skills_sh,81.806775,55.25
skills_sh,81.932246,55.25
skills_sh,82.057716,55.25
skills_sh,82.183187,55.25
skills_sh,82.308657,55.75
skills_sh,82.434128,56.25
skills_sh,82.559598,56.75
skills_sh,82.685069,56.75
skills_sh,82.81054,56.75
skills_sh,82.93601,56.75
skills_sh,83.061481,56.75
skills_sh,83.186951,56.75
skills_sh,83.312422,56.75
skills_sh,83.437892,56.75
skills_sh,83.563363,57.25
skills_sh,83.688833,57.25
skills_sh,83.814304,57.75
skills_sh,83.939774,58.25
skills_sh,84.065245,58.25
skills_sh,84.190715,58.25
skills_sh,84.316186,58.25
skills_sh,84.441656,58.25
skills_sh,84.567127,58.75
skills_sh,84.692597,58.75
skills_sh,84.818068,58.75
skills_sh,84.943538,59.25
skills_sh,85.069009,59.25
skills_sh,85.194479,59.25
skills_sh,85.31995,59.75
skills_sh,85.44542,60.0
skills_sh,85.570891,60.5
skills_sh,85.696361,60.75
skills_sh,85.821832,60.75
skills_sh,85.947302,60.75
skills_sh,86.072773,61.5
skills_sh,86.198243,61.5
skills_sh,86.323714,61.75
skills_sh,86.449184,62.5
skills_sh,86.574655,62.75
skills_sh,86.700125,62.75
skills_sh,86.825596,62.75
skills_sh,86.951066,62.75
skills_sh,87.076537,63.25
skills_sh,87.202008,63.25
skills_sh,87.327478,63.25
skills_sh,87.452949,63.5
skills_sh,87.578419,63.5
skills_sh,87.70389,63.5
skills_sh,87.82936,64.0
skills_sh,87.954831,64.0
skills_sh,88.080301,64.5
skills_sh,88.205772,64.5
skills_sh,88.331242,64.5
skills_sh,88.456713,64.5
skills_sh,88.582183,64.75
skills_sh,88.707654,64.75
skills_sh,88.833124,65.0
skills_sh,88.958595,65.25
skills_sh,89.084065,65.5
skills_sh,89.209536,65.75
skills_sh,89.335006,66.0
skills_sh,89.460477,66.0
skills_sh,89.585947,66.25
skills_sh,89.711418,66.75
skills_sh,89.836888,66.75
skills_sh,89.962359,66.75
skills_sh,90.087829,67.0
skills_sh,90.2133,68.0
skills_sh,90.33877,68.0
skills_sh,90.464241,68.0
skills_sh,90.589711,68.0
skills_sh,90.715182,69.75
skills_sh,90.840652,70.5
skills_sh,90.966123,70.5
skills_sh,91.091593,70.5
skills_sh,91.217064,70.75
skills_sh,91.342535,71.5
skills_sh,91.468005,71.5
skills_sh,91.593476,72.0
skills_sh,91.718946,72.0
skills_sh,91.844417,72.5
skills_sh,91.969887,72.5
skills_sh,92.095358,73.0
skills_sh,92.220828,73.0
skills_sh,92.346299,73.0
skills_sh,92.471769,73.0
skills_sh,92.59724,73.25
skills_sh,92.72271,73.5
skills_sh,92.848181,73.5
skills_sh,92.973651,73.5
skills_sh,93.099122,73.75
skills_sh,93.224592,74.0
skills_sh,93.350063,74.0
skills_sh,93.475533,74.0
skills_sh,93.601004,74.5
skills_sh,93.726474,74.5
skills_sh,93.851945,74.5
skills_sh,93.977415,74.75
skills_sh,94.102886,75.0
skills_sh,94.228356,75.5
skills_sh,94.353827,75.5
skills_sh,94.479297,75.5
skills_sh,94.604768,76.0
skills_sh,94.730238,76.5
skills_sh,94.855709,76.5
skills_sh,94.981179,77.0
skills_sh,95.10665,77.75
skills_sh,95.23212,77.75
skills_sh,95.357591,77.75
skills_sh,95.483061,78.0
skills_sh,95.608532,78.0
skills_sh,95.734003,78.0
skills_sh,95.859473,78.5
skills_sh,95.984944,79.0
skills_sh,96.110414,79.0
skills_sh,96.235885,79.0
skills_sh,96.361355,79.0
skills_sh,96.486826,79.0
skills_sh,96.612296,79.0
skills_sh,96.737767,79.5
skills_sh,96.863237,81.5
skills_sh,96.988708,81.5
skills_sh,97.114178,82.0
skills_sh,97.239649,82.0
skills_sh,97.365119,84.0
skills_sh,97.49059,84.5
skills_sh,97.61606,84.5
skills_sh,97.741531,84.5
skills_sh,97.867001,84.5
skills_sh,97.992472,85.5
skills_sh,98.117942,86.0
skills_sh,98.243413,86.0
skills_sh,98.368883,88.0
skills_sh,98.494354,88.0
skills_sh,98.619824,88.0
skills_sh,98.745295,92.0
skills_sh,98.870765,92.5
skills_sh,98.996236,92.5
skills_sh,99.121706,93.0
skills_sh,99.247177,93.0
skills_sh,99.372647,93.0
skills_sh,99.498118,96.0
skills_sh,99.623588,96.5
skills_sh,99.749059,100.0
skills_sh,99.874529,100.0
skills_sh,100.0,100.0
skillsdirectory,0.0,27.0
skillsdirectory,1.190476,28.0
skillsdirectory,2.380952,29.0
skillsdirectory,3.571429,31.5
skillsdirectory,4.761905,32.0
skillsdirectory,5.952381,34.25
skillsdirectory,7.142857,34.25
skillsdirectory,8.333333,34.25
skillsdirectory,9.52381,35.25
skillsdirectory,10.714286,35.25
skillsdirectory,11.904762,36.25
skillsdirectory,13.095238,36.5
skillsdirectory,14.285714,37.0
skillsdirectory,15.47619,37.75
skillsdirectory,16.666667,37.75
skillsdirectory,17.857143,37.75
skillsdirectory,19.047619,37.75
skillsdirectory,20.238095,39.25
skillsdirectory,21.428571,39.25
skillsdirectory,22.619048,39.75
skillsdirectory,23.809524,39.75
skillsdirectory,25.0,40.25
skillsdirectory,26.190476,41.25
skillsdirectory,27.380952,42.25
skillsdirectory,28.571429,42.75
skillsdirectory,29.761905,43.25
skillsdirectory,30.952381,43.25
skillsdirectory,32.142857,43.75
skillsdirectory,33.333333,44.25
skillsdirectory,34.52381,45.25
skillsdirectory,35.714286,45.25
skillsdirectory,36.904762,45.25
skillsdirectory,38.095238,46.25
skillsdirectory,39.285714,47.75
skillsdirectory,40.47619,47.75
skillsdirectory,41.666667,48.75
skillsdirectory,42.857143,48.75
skillsdirectory,44.047619,50.25
skillsdirectory,45.238095,51.75
skillsdirectory,46.428571,52.25
skillsdirectory,47.619048,52.75
skillsdirectory,48.809524,53.25
skillsdirectory,50.0,53.25
skillsdirectory,51.190476,53.25
skillsdirectory,52.380952,53.25
skillsdirectory,53.571429,54.25
skillsdirectory,54.761905,55.25
skillsdirectory,55.952381,55.25
skillsdirectory,57.142857,55.75
skillsdirectory,58.333333,57.25
skillsdirectory,59.52381,58.25
skillsdirectory,60.714286,58.25
skillsdirectory,61.904762,59.25
skillsdirectory,63.095238,59.75
skillsdirectory,64.285714,60.75
skillsdirectory,65.47619,60.75
skillsdirectory,66.666667,62.75
skillsdirectory,67.857143,62.75
skillsdirectory,69.047619,63.5
skillsdirectory,70.238095,64.0
skillsdirectory,71.428571,64.75
skillsdirectory,72.619048,65.25
skillsdirectory,73.809524,66.75
skillsdirectory,75.0,66.75
skillsdirectory,76.190476,67.0
skillsdirectory,77.380952,70.5
skillsdirectory,78.571429,72.0
skillsdirectory,79.761905,72.0
skillsdirectory,80.952381,73.5
skillsdirectory,82.142857,73.5
skillsdirectory,83.333333,73.5
skillsdirectory,84.52381,74.5
skillsdirectory,85.714286,75.0
skillsdirectory,86.904762,75.5
skillsdirectory,88.095238,76.0
skillsdirectory,89.285714,76.5
skillsdirectory,90.47619,76.5
skillsdirectory,91.666667,78.0
skillsdirectory,92.857143,79.0
skillsdirectory,94.047619,79.0
skillsdirectory,95.238095,81.5
skillsdirectory,96.428571,84.5
skillsdirectory,97.619048,88.0
skillsdirectory,98.809524,88.0
skillsdirectory,100.0,100.0
gharchive,0.0,18.0
gharchive,0.111235,18.0
gharchive,0.222469,18.0
gharchive,0.333704,18.0
gharchive,0.444939,18.0
gharchive,0.556174,18.0
gharchive,0.667408,18.0
gharchive,0.778643,18.0
gharchive,0.889878,18.0
gharchive,1.001112,18.0
gharchive,1.112347,18.0
gharchive,1.223582,18.0
gharchive,1.334816,18.0
gharchive,1.446051,18.0
gharchive,1.557286,18.0
gharchive,1.668521,18.0
gharchive,1.779755,18.0
gharchive,1.89099,18.0
gharchive,2.002225,18.0
gharchive,2.113459,18.0
gharchive,2.224694,18.0
gharchive,2.335929,18.0
gharchive,2.447164,18.0
gharchive,2.558398,19.0
gharchive,2.669633,19.0
gharchive,2.780868,19.0
gharchive,2.892102,19.0
gharchive,3.003337,19.0
gharchive,3.114572,19.0
gharchive,3.225806,19.0
gharchive,3.337041,19.0
gharchive,3.448276,19.0
gharchive,3.559511,19.0
gharchive,3.670745,19.0
gharchive,3.78198,19.0
gharchive,3.893215,19.0
gharchive,4.004449,19.0
gharchive,4.115684,19.0
